topic,label,periodo,contagem,z,manchetes_evidencia
0,Justiça itinerante / cidadania,2026-04-20,16,3.18,Acessibilidade: Justiça eleitoral do DF regulamenta atendimento externo para PcDs | Registre-se PopRuaJud: mais de 14 mil atendimentos foram realizados no Rio | Judiciário do Tocantins instala Ponto de Inclusão Digital (PID) em Figueirópolis
1,IA / Conecta / Justiça 4.0,2026-03-09,9,2.02,e-MILIA: ferramenta traduz conteúdos jurídicos em linguagem simples no TJMSP | Seis formas inovadoras de resolução de conflitos passam a integrar o Portal CNJ de Boas Práticas | Observatório da Transparência discute criação de portal para agregar pagamentos de passivos a magistrados
1,IA / Conecta / Justiça 4.0,2026-04-06,9,2.02,Webinário apresenta versão final do Sistema Nacional de Gestão de Bens | CNJ debate o futuro da gestão do Judiciário com foco em inteligência artificial | Sistema com IA moderniza penas alternativas e passa de 1 milhão de usos
1,IA / Conecta / Justiça 4.0,2026-05-11,8,1.64,Abertas as inscrições para o 3º Prêmio de Inovação do Judiciário | Portal CNJ de Boas Práticas recebe dezesseis novos projetos | CNJ investe na modernização da execução judicial com uso de IA
2,Saúde / judicialização / SUS,2026-01-19,9,2.31,Celeridade no 2º grau de jurisdição: TJAP fecha ano com 1.410 processos julgados | TRT-2 realiza 119 mediações coletivas e fecha quase 48% de acordos em 2025 | TRT-PB destaca-se nacionalmente pela celeridade e excelência na tramitação processual do 2º grau
2,Saúde / judicialização / SUS,2026-04-06,8,1.91,"Saúde é o centro das políticas penais por meio da estratégia Cuidar, lançada pelo CNJ | 2ª Semana da Saúde: Tocantins alcança 100% de conciliação e garante cirurgias e tratamentos | Abril Verde: TRT da Paraíba promove conciliações com foco na proteção à saúde do trabalhador"
3,Direitos humanos / Corte IDH,2026-03-16,8,2.19,Nota de repúdio do CNJ e do STF a ataques racistas | Evento no TJBA discute a gestão da política nacional de segurança do Poder Judiciário | Corte Interamericana inicia atividades no Brasil com sessão de abertura no STF
3,Direitos humanos / Corte IDH,2026-05-04,8,2.19,Nota Oficial do Presidente do Conselho Nacional de Justiça | Políticas judiciárias brasileiras são destaques do CNJ em evento em Haia | Memória do Judiciário: prêmio do CNJ destaca dívida histórica com escravizados e quilombolas
4,Violência doméstica / mulheres,2026-02-02,7,1.5,CNJ avança na construção de diretrizes do programa para autores de violência doméstica | Combate à violência contra a mulher indígena é tema de seminário no Maranhão | Ação inédita une os três Poderes do Brasil no enfrentamento ao feminicídio
4,Violência doméstica / mulheres,2026-03-09,10,2.64,Ministra do STJ faz visita institucional ao CNJ para diálogo sobre enfrentamento à violência contra mulheres | Evento debate os avanços da participação feminina no Poder Judiciário e os desafios a serem enfrentados | Encontro Nacional reúne policiais judiciais para debater liderança feminina e desafios da carreira
4,Violência doméstica / mulheres,2026-03-23,9,2.26,Pesquisas apontam avanços e desafios para a paridade de gênero no Judiciário | CNJ se reúne com magistradas para tratar do enfrentamento à violência doméstica | Combate à violência política de gênero ganha ação interinstitucional
5,Sistema prisional / Pena Justa,2026-03-02,5,2.16,Plataforma Socioeducativa chega ao Ceará com cronograma para nacionalização | Centrais para controle da lotação prisional começam a funcionar em 10 estados neste semestre | Judiciário cearense implanta Plataforma Socioeducativa a partir de 6/3
5,Sistema prisional / Pena Justa,2026-05-18,5,2.16,Pena Justa avança com trabalho e educação durante itinerância em Marajó | Pesquisas aplicadas ao Direito de Família serão apresentadas em webinário do CNJ desta quinta (21/5) | Pena Justa impulsiona vagas de trabalho para pessoas presas e egressas no Mato Grosso
6,Infância e juventude,2026-05-18,9,3.68,Adoção: CNJ lançará aplicativo para fortalecer busca ativa de crianças e jovens | TJAL promove 15º Encontro Estadual de Adoção | Mês da Infância Protegida: Como denunciar violência contra crianças e adolescentes
7,Sustentabilidade ambiental,2026-01-12,6,2.02,TRT-15 destina mais 30 toneladas de papel para cooperativa de reciclagem | TJSC investe em energia solar e reforça o seu compromisso com a sustentabilidade | Juízo Verde: tribunais se destacam pela celeridade no julgamento de processos ambientais
7,Sustentabilidade ambiental,2026-01-26,8,3.01,"TRF-4 conquista Selo Carbono Neutro pela compensação das emissões de gases de efeito estufa | TJMS economiza mais de R$ 4,7 milhões em 2025 com uso de energia fotovoltaica | Gestão de resíduos sólidos será o foco da II Semana da Pauta Verde"
7,Sustentabilidade ambiental,2026-06-08,6,2.02,CNJ lança cartilha sobre gestão de resíduos sólidos na Semana da Pauta Verde | Acordo judicial abre caminho para criação de reserva sustentável no Quilombo da Fazenda | Pesquisas sobre desafios climáticos e justiça socioambiental são destaque em seminário do CNJ
8,Processos disciplinares / sessões,2026-03-02,9,3.88,"Nota à imprensa: afastamento do desembargador Guaraci de Campos Vianna, do TJRJ | CNJ confirma pena máxima contra juiz por assédio e perseguição a servidoras | Desembargador mineiro acusado de crimes sexuais segue afastado das funções pelo CNJ"
9,Precatórios / corregedoria,2026-03-02,5,3.17,"Com nova diretoria, câmara nacional elabora novos enunciados para gestão de precatórios | Conselho Consultivo do CNJ discute temáticas para pesquisas sobre o Judiciário | Comissão técnica realiza primeira reunião sobre verbas indenizatórias e teto constitucional"
9,Precatórios / corregedoria,2026-06-08,4,2.36,CNJ e OAB debatem medidas para acelerar e padronizar pagamento de precatórios | Nova resolução prevê extinção de execuções fiscais antigas por prescrição | Fachin destaca construção de soluções duradouras para remuneração da magistratura
