classe_id,classe,m24,m18,m12,flag18
22,ENAC / Exame de cartórios,41,34,24,
20,Linguagem simples,79,38,25,
19,Justiça Eleitoral,69,39,25,
27,Litigância / ações coletivas,57,42,31,
29,Conflitos fundiários,59,43,33,
24,Execuções fiscais,71,46,22,
13,LGBTQIA+,71,48,34,
26,Trabalho escravo / tráfico,65,49,33,
17,Regularização fundiária,76,53,32,
15,Inclusão PCDs,83,55,31,
8,Participação feminina,76,57,39,
5,Corregedoria / Inspeção,102,76,48,
18,Domicílio Judicial Eletrônico,119,93,62,
25,PopRuaJud,122,93,59,
11,Precatórios,130,102,70,
12,Transparência,139,104,77,
28,Infância e juventude,144,108,74,
21,Saúde / judicialização,149,110,65,
16,Inovação,160,112,57,
1,Equidade racial,165,114,90,
9,Direitos humanos / Corte IDH,134,118,107,
7,Socioeducativo,159,122,70,
0,Processos disciplinares,181,129,87,
23,Sustentabilidade / Pauta verde,187,146,110,
4,IA / Justiça 4.0,234,159,110,
3,Conciliação e mediação,295,204,129,
10,Institucional / Gestão,291,211,132,
6,Justiça Itinerante / cidadania,297,229,156,
14,Sistema prisional,302,232,160,
2,Violência doméstica / mulheres,337,244,160,
