data,evento,tipo,topico,classe_tematica,fonte_evidencia
2026-03-08,Dia Internacional da Mulher / Mês da Mulher,observancia_calendario,2,Violência doméstica / mulheres,"Observância nacional consolidada; corpus: 'CNJ se reúne com magistradas para tratar do enfrentamento à violência' (semanas de março). Sem pico C2 >=1.5 nesta janela (evidência por manchete; pico de Participação feminina C8 ocorre em 2025-03-17)."
2026-05-18,Dia Nacional de Combate ao Abuso e à Exploração Sexual de Crianças e Adolescentes / Mês da Infância,observancia_calendario,28,Infância e juventude,"Observância nacional (18 de maio, Lei 9.970/2000); corpus: 'Mês da Infância', 'Adoção: CNJ lançará aplicativo para fortalecer busca ativa'. Corrobora pico C28 2026-05-18 z=4.37."
2026-06-05,Dia Mundial do Meio Ambiente / Semana da Pauta Verde,observancia_calendario,23,Sustentabilidade / Pauta verde,"Observância de 5 de junho; corpus: 'CNJ lança cartilha sobre gestão de resíduos sólidos na Semana da Pauta Verde'. Picos C23 concentram-se em 2025 (2025-08-18 z=3.9; 2025-11-10 z=6.53); sem pico em jun/2026."
2026-04-06,Estratégia Cuidar (saúde nas políticas penais) / 2ª Semana da Saúde,programa_cnj,14,Sistema prisional,"corpus: 'Saúde é o centro das políticas penais por meio da estratégia Cuidar, lançada pelo CNJ'; '2ª Semana da Saúde'. Corrobora pico C14 2026-04-06 z=2.29."
2026-04-20,PopRuaJud — atendimento à população em situação de rua,programa_cnj,25,PopRuaJud,"corpus: 'Registre-se PopRuaJud: mais de 14 mil atendimentos foram realizados'. Sem pico na classe dedicada C25; esta manchete clusterizou no pico de Justiça Itinerante C6 2026-04-20 z=2.67."
2026-05-18,Pena Justa — itinerância (Marajó),programa_cnj,14,Sistema prisional,"corpus: 'Pena Justa avança com trabalho e educação durante itinerância em Marajó'. Corrobora pico C14 2026-05-18 z=2.29."
2026-05-11,3º Prêmio de Inovação do Judiciário,evento_institucional,16,Inovação,"corpus: 'Abertas as inscrições para o 3º Prêmio de Inovação do Judiciário'. Picos C16 concentram-se em 2024-09-09 (z=7.06) e 2025; sem pico em mai/2026."
2026-03-02,"Decisões disciplinares de alto perfil (afastamento de desembargador do TJRJ; pena por assédio)",decisao_administrativa,0,Processos disciplinares,"corpus: 'Nota à imprensa: afastamento do desembargador Guaraci de Campos Vianna, do TJRJ'; 'CNJ confirma pena máxima contra juiz por assédio'. Corrobora pico C0 2026-03-02 z=4.26."
2026-03-16,Nota de repúdio a ataques racistas (CNJ e STF),evento_institucional,1,Equidade racial,"corpus: 'Nota de repúdio do CNJ e do STF a ataques racistas'. Sem pico C1 em mar/2026 (picos de Equidade racial em nov/2025, ex.: 2025-11-17 z=5.53); evidência por manchete."
2026-05-04,"Atuação internacional (evento em Haia) e Nota Oficial da Presidência",evento_institucional,10,Institucional / Gestão,"corpus: 'Políticas judiciárias brasileiras são destaques do CNJ em evento em Haia'; 'Nota Oficial do Presidente do CNJ'. Corrobora pico C10 2026-05-04 z=2.07."
2026-06-08,CNJ e OAB — medidas para padronizar pagamento de precatórios,evento_institucional,11,Precatórios,"corpus: 'CNJ e OAB debatem medidas para acelerar e padronizar pagamento de precatórios'. Classe C11 não atinge pico >=1.5 na janela (evidência por manchete)."
